	Isample	g1	g2	Kr	KAW	AW0	Var
5224	    0.2496	    0.1970	    0.0650	    1.5320	   29.6250	    0.0691
5225	    0.2496	    0.1970	    0.0650	    1.5320	   29.6250	    0.0691
5226	    0.2496	    0.1970	    0.0650	    1.5320	   29.6250	    0.0691
5227	    0.2496	    0.2070	    0.0650	    1.5320	   29.6250	    0.0691
5228	    0.2496	    0.2070	    0.0600	    1.5320	   29.6250	    0.0691
5229	    0.2496	    0.2070	    0.0600	    1.5320	   29.6250	    0.0691
5230	    0.2496	    0.2070	    0.0600	    1.5470	   29.6250	    0.0691
5231	    0.2496	    0.2070	    0.0600	    1.5470	   29.6250	    0.0691
5232	    0.2496	    0.1580	    0.0600	    1.5470	   29.6250	    0.0691
5233	    0.2496	    0.1580	    0.0600	    1.5470	   29.6250	    0.0691
5234	    0.2496	    0.1580	    0.0600	    1.5470	   29.6250	    0.0741
5235	    0.2496	    0.1580	    0.0600	    1.5470	   29.6250	    0.0741
5236	    0.2496	    0.1580	    0.0600	    1.5470	   29.6250	    0.1201
5237	    0.2496	    0.1580	    0.0600	    1.5470	   29.6250	    0.0921
5238	    0.2496	    0.1580	    0.0600	    1.5470	   29.6250	    0.0921
5239	    0.2496	    0.1580	    0.0600	    1.5470	   29.6250	    0.0921
5240	    0.2496	    0.1580	    0.0600	    1.5590	   29.6250	    0.0921
5241	    0.2496	    0.1440	    0.0600	    1.5590	   29.6250	    0.0921
5242	    0.2496	    0.1440	    0.0600	    1.5590	   29.6250	    0.0911
5243	    0.2496	    0.1440	    0.0790	    1.5590	   29.6250	    0.0911
5244	    0.2496	    0.1440	    0.0790	    1.5590	   29.6250	    0.0911
5245	    0.2496	    0.1440	    0.0790	    1.5590	   29.6400	    0.0911
5246	    0.2496	    0.1790	    0.0790	    1.5590	   29.6400	    0.0911
5247	    0.2496	    0.1790	    0.0790	    1.5490	   29.6400	    0.0911
5248	    0.2496	    0.1800	    0.0790	    1.5490	   29.6400	    0.0911
5249	    0.2496	    0.1800	    0.0790	    1.5490	   29.6400	    0.1341
5250	    0.2496	    0.1800	    0.0790	    1.5050	   29.6400	    0.1341
5251	    0.2496	    0.1800	    0.0790	    1.5050	   29.5940	    0.1341
5252	    0.2496	    0.1800	    0.0790	    1.5050	   29.5880	    0.1341
5253	    0.2496	    0.1800	    0.0790	    1.5050	   29.6070	    0.1341
5254	    0.2496	    0.1800	    0.0790	    1.4980	   29.6070	    0.1341
5255	    0.2496	    0.1800	    0.0790	    1.4980	   29.6070	    0.1810
5256	    0.2496	    0.1800	    0.0790	    1.4980	   29.6540	    0.1810
5257	    0.2496	    0.1800	    0.0790	    1.5130	   29.6540	    0.1810
5258	    0.2496	    0.1800	    0.0890	    1.5130	   29.6540	    0.1810
5259	    0.2496	    0.1500	    0.0890	    1.5130	   29.6540	    0.1810
5260	    0.2496	    0.1500	    0.0890	    1.5130	   29.6540	    0.1830
5261	    0.2496	    0.1500	    0.0890	    1.5130	   29.6090	    0.1830
5262	    0.2496	    0.1500	    0.0890	    1.5600	   29.6090	    0.1830
5263	    0.2496	    0.1500	    0.0890	    1.5600	   29.6090	    0.1830
5264	    0.2496	    0.1500	    0.1340	    1.5600	   29.6090	    0.1830
5265	    0.2496	    0.1500	    0.1240	    1.5600	   29.6090	    0.1830
5266	    0.2496	    0.1500	    0.1240	    1.5600	   29.6090	    0.1830
5267	    0.2496	    0.1500	    0.1240	    1.5230	   29.6090	    0.1830
5268	    0.2496	    0.1500	    0.1240	    1.5230	   29.6090	    0.1830
5269	    0.2496	    0.1500	    0.1240	    1.5230	   29.6090	    0.1830
