coordx	coordy	rank
862014.0810	4483814.5418	358
862014.0810	4484314.5418	358
862014.0810	4484814.5418	358
862014.0810	4485314.5418	357
862014.0810	4485814.5418	357
862014.0810	4486314.5418	356
862014.0810	4486814.5418	355
862014.0810	4487314.5418	355
862014.0810	4487814.5418	355
862014.0810	4488314.5418	355
862014.0810	4488814.5418	355
862014.0810	4489314.5418	355
862014.0810	4489814.5418	356
862014.0810	4490314.5418	355
862014.0810	4490814.5418	361
862014.0810	4491314.5418	360
862014.0810	4491814.5418	359
862014.0810	4492314.5418	358
862014.0810	4492814.5418	358
862014.0810	4493314.5418	358
862014.0810	4493814.5418	361
862014.0810	4494314.5418	361
862014.0810	4494814.5418	362
862014.0810	4495314.5418	362
862514.0810	4471814.5418	349
862514.0810	4472314.5418	349
862514.0810	4472814.5418	349
862514.0810	4473314.5418	349
862514.0810	4473814.5418	347
862514.0810	4474314.5418	347
862514.0810	4474814.5418	347
862514.0810	4475314.5418	347
862514.0810	4475814.5418	347
862514.0810	4476314.5418	347
862514.0810	4477314.5418	347
862514.0810	4477814.5418	350
862514.0810	4478314.5418	350
862514.0810	4478814.5418	350
862514.0810	4479314.5418	350
862514.0810	4479814.5418	351
862514.0810	4482314.5418	359
862514.0810	4482814.5418	358
862514.0810	4483314.5418	357
862514.0810	4483814.5418	357
862514.0810	4484314.5418	357
862514.0810	4484814.5418	357
862514.0810	4485314.5418	356
862514.0810	4485814.5418	356
862514.0810	4486314.5418	355
862514.0810	4486814.5418	354
862514.0810	4487314.5418	354
862514.0810	4487814.5418	354
862514.0810	4488314.5418	354
862514.0810	4488814.5418	354
862514.0810	4489314.5418	354
862514.0810	4489814.5418	354
862514.0810	4490314.5418	354
862514.0810	4490814.5418	354
862514.0810	4491314.5418	355
862514.0810	4491814.5418	356
862514.0810	4492314.5418	358
862514.0810	4492814.5418	357
862514.0810	4493314.5418	358
862514.0810	4493814.5418	360
862514.0810	4494314.5418	360
862514.0810	4494814.5418	361
862514.0810	4495314.5418	362
863014.0810	4471314.5418	348
863014.0810	4471814.5418	348
863014.0810	4472314.5418	348
863014.0810	4472814.5418	348
863014.0810	4473314.5418	348
863014.0810	4473814.5418	346
863014.0810	4474314.5418	346
863014.0810	4474814.5418	346
863014.0810	4475314.5418	346
863014.0810	4475814.5418	346
863014.0810	4476314.5418	346
863014.0810	4476814.5418	346
863014.0810	4477314.5418	346
863014.0810	4477814.5418	349
863014.0810	4478314.5418	349
863014.0810	4478814.5418	349
863014.0810	4479314.5418	349
863014.0810	4479814.5418	349
863014.0810	4480314.5418	349
863014.0810	4480814.5418	349
863014.0810	4481314.5418	352
863014.0810	4481814.5418	352
863014.0810	4482314.5418	359
863014.0810	4482814.5418	358
863014.0810	4483314.5418	357
863014.0810	4483814.5418	356
863014.0810	4484314.5418	356
863014.0810	4484814.5418	356
863014.0810	4485314.5418	355
863014.0810	4485814.5418	355
863014.0810	4486314.5418	354
863014.0810	4486814.5418	353
863014.0810	4487314.5418	353
863014.0810	4487814.5418	353
863014.0810	4488314.5418	353
863014.0810	4488814.5418	354
863014.0810	4489314.5418	354
863014.0810	4489814.5418	353
863014.0810	4490314.5418	353
863014.0810	4490814.5418	353
863014.0810	4491314.5418	354
863014.0810	4491814.5418	355
863014.0810	4492314.5418	356
863014.0810	4492814.5418	357
863014.0810	4493314.5418	358
