dt	dushikou	gangfangyao	maying	maoyupu	hulonggou	yunzhousk	zhenanpu	zhenningpu	yangtian	zhuanlou	paoliang	longguan	tianjiayao	dongshanmiao	diaoe	shangzhuangzi	nanbuzi	xiapu	baihepu	wanquansi	shicao	qianjiadian	heilongshan	qingyanggou	baichao	sidaogou	dongwankou	qiansongtai	hedaziying	dongmao	sandaoying	sihai	baoshansi	daodekeng	dengjiashanzi	sandaohe	labagoumen	xiaoliangqian	changshaoying	tanghekou	qifengcha	liulimiao	zhangjiafen
1990-3-13	0	0.2	0	0	0.4	0	0.2	0	0	0.6	0	0	0.4	1.9	0	0	1.5	0	1.5	1.2	0	1.5	1.0	1.0	1.2	1.0	1.1	0.5	1.5	1.5	1.7	0	0	2.8	0.3	0.7	0	2.5	2.5	1.5	0	0	0
1990-3-14	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-3-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-3-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-3-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-3-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-3-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-3-20	3.5	3.0	3.9	4.0	2.7	5.3	4.0	4.6	3.2	9.8	7.1	10.0	8.8	9.1	5.1	8.1	4.6	10.7	0	8.1	13.7	7.5	5.1	9.0	6.1	9.3	6.8	8.3	7.8	6.6	5.2	0	0	0	3.2	4.6	3.4	8.5	6.5	7.2	0	8.0	8.3
1990-3-21	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1	0.1	12.4	0	0	0	0	0	0	0	0	0	0	0	0.9	8.7	0	7.1	0	0	2.1	0.7	13.0	0.5	0	0.8	1.1
1990-3-22	2.8	1.3	1.5	2.9	8.2	7.3	7.2	5.1	6.9	6.1	6.5	6.5	8.4	11.6	11.0	0	15.0	10.5	8.8	10.1	8.2	9.4	8.8	10.5	8.7	8.4	9.3	12.4	9.2	9.4	9.0	13.0	0	8.9	5.4	9.6	10.1	9.5	0	13.6	0	9.2	9.6
