station	dt	qobs	qcal	pmean	wmean	eta	ep	temp	tempmax	tempmin
zhangjiafen	1960-10-13	17.500	10.000	9.800	100.000	0.100	1.000	0	0	0
zhangjiafen	1960-10-14	21.800	10.000	0.500	100.000	0.100	1.300	0	0	0
zhangjiafen	1960-10-15	22.600	10.000	0	100.000	0.100	1.400	0	0	0
zhangjiafen	1960-10-16	20.000	10.000	0.600	100.000	0.100	1.000	0	0	0
zhangjiafen	1960-10-17	18.500	10.000	0	100.000	0.100	1.600	0	0	0
zhangjiafen	1960-10-18	17.500	10.000	0	100.000	0.100	1.300	0	0	0
zhangjiafen	1960-10-19	17.000	10.000	0	100.000	0.100	1.300	0	0	0
zhangjiafen	1960-10-20	17.000	10.000	0	100.000	0.100	1.200	0	0	0
zhangjiafen	1960-10-21	16.500	10.000	0	100.000	0.100	1.500	0	0	0
zhangjiafen	1960-10-22	16.500	10.000	0	100.000	0.100	1.500	0	0	0
zhangjiafen	1960-10-23	16.000	10.000	2.200	100.000	0.100	1.000	0	0	0
zhangjiafen	1960-10-24	16.000	10.000	0.400	100.000	0.100	1.300	0	0	0
zhangjiafen	1960-10-25	16.000	10.000	0	100.000	0.100	1.100	0	0	0
zhangjiafen	1960-10-26	16.000	10.000	0	100.000	0.100	0.900	0	0	0
zhangjiafen	1960-10-27	16.000	10.000	0	100.000	0.100	1.000	0	0	0
zhangjiafen	1960-10-28	16.000	10.000	0	100.000	0.100	1.100	0	0	0
zhangjiafen	1960-10-29	15.600	10.000	0	100.000	0.100	1.000	0	0	0
zhangjiafen	1960-10-30	15.600	10.000	0	100.000	0.100	1.000	0	0	0
zhangjiafen	1960-10-31	15.600	10.000	0	100.000	0.100	0.500	0	0	0
zhangjiafen	1960-11-1	15.600	10.000	0	100.000	0.100	2.100	0	0	0
zhangjiafen	1960-11-2	15.600	10.000	0	100.000	0.100	1.200	0	0	0
zhangjiafen	1960-11-3	16.000	10.000	0	100.000	0.100	1.100	0	0	0
zhangjiafen	1960-11-4	16.500	10.000	0	100.000	0.100	0.800	0	0	0
zhangjiafen	1960-11-5	16.000	10.000	0	100.000	0.100	1.200	0	0	0
zhangjiafen	1960-11-6	16.000	10.000	0	100.000	0.100	1.300	0	0	0
zhangjiafen	1960-11-7	15.600	10.000	0	100.000	0.100	1.300	0	0	0
zhangjiafen	1960-11-8	15.300	10.000	0	100.000	0.100	0.900	0	0	0
zhangjiafen	1960-11-9	14.900	10.000	0	100.000	0.100	0.900	0	0	0
zhangjiafen	1960-11-10	14.900	10.000	0	100.000	0.100	1.000	0	0	0
